Timestamp,Emotion
287469656.8571,SURPRISE or ANGER
287469690.1904,SHOCK
287469823.5238,SAD
287469956.8571,SURPRISE or ANGER
287470090.1904,SHOCK
287470223.5238,SAD
287470356.8571,SURPRISE or ANGER
287470490.1904,SHOCK
287470623.5238,SAD
287470756.8571,SURPRISE or ANGER
287470890.1904,SHOCK
287471023.5238,SAD
287471156.8571,SURPRISE or ANGER
287471290.1904,SHOCK
287471423.5238,SAD
287471556.8571,SURPRISE or ANGER
287471690.1904,SHOCK
287471723.5238,DISCOMFORT
287471756.8571,SAD
287471890.1904,SURPRISE or ANGER
287472023.5238,SHOCK
287472056.8571,SURPRISE
287472290.1904,DISCOMFORT
287472423.5238,SAD
287472556.8571,SURPRISE or ANGER
287472690.1904,SHOCK
287472823.5238,DISCOMFORT
287472956.8571,SAD
287473090.1904,SURPRISE or ANGER
287473223.5238,SHOCK
287473356.8571,SURPRISE
287473490.1904,SAD
287473623.5238,SURPRISE or ANGER
287473756.8571,SHOCK
287473890.1904,SURPRISE
287474023.5238,SAD
287474056.8571,SURPRISE or ANGER
287474290.1904,SHOCK
287474323.5238,SURPRISE
287474456.8571,SAD
287474690.1904,SURPRISE or ANGER
287474723.5238,SHOCK
287474856.8571,SURPRISE
287474990.1904,DISCOMFORT
287475123.5238,SAD
287475156.8571,SURPRISE or ANGER
287475290.1904,SHOCK
287475423.5238,SURPRISE
287475456.8571,DISCOMFORT
287475590.1904,SAD
287475623.5238,SURPRISE or ANGER
287475756.8571,SHOCK
287475890.1904,DISCOMFORT
287476023.5238,SAD
287476156.8571,SURPRISE or ANGER
287476290.1904,SHOCK
287476423.5238,SURPRISE
287476556.8571,SAD
287476690.1904,SURPRISE or ANGER
287476823.5238,SHOCK
287476856.8571,SURPRISE
287476890.1904,DISCOMFORT
287477023.5238,SAD
287477156.8571,SURPRISE or ANGER
287477190.1904,SHOCK
287477223.5238,DISCOMFORT
287477356.8571,SAD
287477490.1904,SURPRISE or ANGER
287477523.5238,SHOCK
287477556.8571,DISCOMFORT
287477690.1904,SAD
287477823.5238,SURPRISE or ANGER
287477856.8571,SHOCK
287477890.1904,DISCOMFORT
287478023.5238,SAD
287478156.8571,SURPRISE or ANGER
287478290.1904,SHOCK
287478423.5238,DISCOMFORT
287478556.8571,SAD
287478690.1904,SURPRISE or ANGER
287478823.5238,SHOCK
287478956.8571,SAD
287479090.1904,SURPRISE or ANGER
287479223.5238,SHOCK
287479356.8571,SAD
287479490.1904,SURPRISE or ANGER
287479623.5238,SHOCK
287479756.8571,SURPRISE
287479890.1904,DISCOMFORT
287480023.5238,SAD
287480156.8571,SURPRISE or ANGER
287480290.1904,SHOCK
287480423.5238,SURPRISE
287480556.8571,DISCOMFORT
287480690.1904,SAD
287480823.5238,SURPRISE or ANGER
287480956.8571,SHOCK
287481090.1904,DISCOMFORT
287481223.5238,SAD
287481356.8571,SURPRISE or ANGER
287481490.1904,SHOCK
287481723.5238,DISCOMFORT
287481856.8571,SAD
287481990.1904,SURPRISE or ANGER
287482123.5238,SHOCK
287482256.8571,SURPRISE
287482390.1904,SAD
287482523.5238,SURPRISE or ANGER
287482656.8571,SHOCK
287482790.1904,DISCOMFORT
287482823.5238,SURPRISE
287482956.8571,SURPRISE or ANGER
287483090.1904,SHOCK
287483223.5238,SURPRISE
